"","abbr","label"
"1","1","1"
"2","cab_id","Cabinet identifier"
"3","cab_prv_id","Cabinet identifier of the previous cabinet"
"4","ctr_id","Country identifier"
"5","cab_sdate","Cabinet start date"
"6","cab_hog_n","Name of the Head of Government"
"7","cab_sts_ttl","Total number of cabinet portfolios"
"8","cab_care","Indicates if cabinet is a caretaker cabinet"
"9","cab_cmt","Comments"
"10","cab_src","Data sources"
"11","cab_valid_sdate","Indicates whether cabinet start date has been double-checked"
"12","ptf_id","Portfolio identifier"
"13","cab_id","Cabinet identifier"
"14","pty_id","Party identifier"
"15","pty_cab","Indicates if party is in cabinet"
"16","pty_cab_sts","A party’s number of portfolios/ministries in a cabinet"
"17","pty_cab_hog","Indicates if party fills the position of the Head of Government"
"18","pty_cab_sup","Indicates if party is supporting the cabinet but is not part of it"
"19","ptf_cmt","Comments"
"20","ptf_src","Data sources"
"21","AUS","Australia"
"22","AUT","Austria"
"23","BEL","Belgium"
"24","CAN","Canada"
"25","CHE","Switzerland"
"26","DEU","Germany"
"27","DNK","Denmark"
"28","ESP","Spain"
"29","FIN","Finland"
"30","GBR","United Kingdom"
"31","GRC","Greece"
"32","IRL","Ireland"
"33","ISL","Iceland"
"34","LUX","Luxembourg"
"35","NLD","Netherlands"
"36","NOR","Norway"
"37","PRT","Portugal"
"38","SWE","Sweden"
"39","USA","United States of America"
"40","ISR","Israel"
"41","CHL","Chile"
"42","CZE","Czech Republic"
"43","EST","Estonia"
"44","HUN","Hungary"
"45","POL","Poland"
"46","SVK","Slovakia"
"47","SVN","Slovenia"
"48","TUR","Turkey"
"49","FRA","France"
"50","NZL","New Zealand"
"51","JPN","Japan"
"52","ITA","Italy"
"53","MEX","Mexico"
"54","ROK","Republic of Korea"
"55","end{tabular}",""
"56","ctr_id","Country identifier"
"57","ctr_n","Country name"
"58","ctr_ccode","ISO3 country code"
"59","ctr_ccode2","ISO2 country code"
"60","ctr_ccode_nr","ISO3 country code"
"61","ctr_eu_date","Date of EU accession"
"62","ctr_oecd_date","Date of OECD accession"
"63","ctr_wto_date","Date of WTO accession"
"64","ctr_cmt","Comments"
"65","ctr_src","Data sources"
"66","ctr_id","Country identifier"
"67","pty_id","Party identifier"
"68","pty_abr","Party abbrevation"
"69","pty_eal_nbr","Indicates the number of parties participating in an electoral alliance"
"70","pty_eal_id","Electoral alliance party identifier"
"71","pty_eal_cmt","Comment"
"72","pty_eal_src","Source of inforamtion on party's participation in electoral alliance"
"73","begin{tabular}{ccc*{3}{D{.}{.}{-1}}}",""
"74","Startdate","End date"
"75","1946-09-28","1946-10-31"
"76","1946-11-01","1947-06-30"
"77","1946-11-01","1947-06-30"
"78","1947-07-01","1949-12-09"
"79","1947-07-01","1949-12-09"
"80","1947-07-01","1949-12-09"
"81","1949-12-10","1949-12-18"
"82","1949-12-19","1950-06-30"
"83","end{tabular}",""
"84","begin{tabular}{cc*{1}{D{.}{.}{-1}}cc}",""
"85","multicolumn{3}{c}{ElectoralAlliances}","\multicolumn{2}{c}{Party}"
"86","multicolumn{1}{c}{Identifier}","\multicolumn{1}{c}{Abbrevation}"
"87","multicolumn{1}{c}{texttt{smallfontpty_id}}","\multicolumn{1}{c}{\texttt{\smallfont pty\_abr}}"
"88","midruleaddlinespace",""
"89","8003","AP"
"90","8003","AP"
"91","8003","AP"
"92","8005","PSP.US"
"93","8006","PDPC"
"94","8006","PDPC"
"95","8006","PDPC"
"96","8006","PDPC"
"97","end{tabular}",""
"98","lhelc_id","Lower house election identifier"
"99","lhelc_prv_id","Previous lower house election identifier"
